Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
53;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,without cylinder;End poverty in all its forms everywhere;1
54;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% to State total,without cylinder;End poverty in all its forms everywhere;1
55;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,with cylinder;End poverty in all its forms everywhere;1
56;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,with cylinder;End poverty in all its forms everywhere;1
57;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,with cylinder;End poverty in all its forms everywhere;1
58;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% to State total,with cylinder;End poverty in all its forms everywhere;1
59;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,without cylinder;End poverty in all its forms everywhere;1
60;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,without cylinder;End poverty in all its forms everywhere;1
61;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,without cylinder;End poverty in all its forms everywhere;1
62;1;General Information;1.9;Non-Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% % to State total,without cylinder;End poverty in all its forms everywhere;1
593;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
594;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
595;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Numbers,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
596;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
597;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
598;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
599;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
600;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Marginal Agricultural Land Holders Below 1 Ha. Sc;End poverty in all its forms everywhere;1
601;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
602;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
603;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Numbers,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
604;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
605;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
606;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
607;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
608;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Marginal Agricultural Land Holders Below 1 Hectare;End poverty in all its forms everywhere;1
609;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
610;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
611;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
612;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
613;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
614;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
615;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
616;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Marginal Agricultural Land Holders Below 1 Hectare Others;End poverty in all its forms everywhere;1
617;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
618;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
619;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
620;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
621;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
622;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
623;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
624;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
625;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;% of marginal land holders to the total land holders,Marginal Agricultural Land Holders Below 1 Hectare Total;End poverty in all its forms everywhere;1
626;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
627;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
628;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
629;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
630;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
631;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
632;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
633;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Small Agricultural Land Holders 1-2 Hectare Sc;End poverty in all its forms everywhere;1
634;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
635;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
636;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
637;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
638;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
639;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
640;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
641;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Small Agricultural Land Holders 1-2 Hectare St;End poverty in all its forms everywhere;1
642;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
643;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
644;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
645;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
646;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
647;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
648;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
649;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Small Agricultural Land Holders 1-2 Hectare Others;End poverty in all its forms everywhere;1
650;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
651;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
652;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
653;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
654;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
655;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
656;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
657;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
658;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;% of small land holders to total land holders,Small Agricultural Land Holders 1-2 Hectare Total;End poverty in all its forms everywhere;1
659;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
660;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
661;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
662;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
663;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
664;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
665;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
666;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Sc;End poverty in all its forms everywhere;1
667;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
668;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
669;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
670;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
671;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
672;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
673;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
674;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Semi Medium Agricultural Land Holders 2-4 Hectares St;End poverty in all its forms everywhere;1
675;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
676;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
677;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
678;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
679;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
680;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
681;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
682;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
683;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
684;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
685;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institution,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
686;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Numbers,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
687;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Male,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
688;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Female,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
689;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Institutions,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
690;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;Total,Area,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
691;4;Agriculture, Horticulture & Sericulture;4.19;Agricultural Land Holdings and Area per 2015-16 census;% of semi medium land holders to total land holders,Semi Medium Agricultural Land Holders 2-4 Hectares Others;End poverty in all its forms everywhere;1
