Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
38.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Rural,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
39.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Total,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
40.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Urban,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
41.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Rural,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
42.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Total,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
43.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Urban,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
44.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Rural,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
45.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Total,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
389.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Full Time,Families involved in fisheries, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
390.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Part Time,Families involved in fisheries, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
855.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;6 Month-3 Years,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End poverty in all its forms everywhere;1
140.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Working,Raingauge Stations, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
141.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Not Working,Raingauge Stations, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
384.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Capacity Tonnes day,Ice Plants, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
717.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;Nos.,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
718.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of delivaries in this Hospital,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
876.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;Men,M.g.n.r.e.g.s Mandays Generated in Lakhs Days, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
877.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;Women,M.g.n.r.e.g.s Mandays Generated in Lakhs Days, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
878.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;Total,M.g.n.r.e.g.s Mandays Generated in Lakhs Days, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
882.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;No.of Famalies availing 100 days ofemployment,Mahathma Gandhi National Rural ployment Guarentee Scheme, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
142.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Total,Raingauge Stations, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
143.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Rainydays,Annual Normal Rainfall 1951 to 2000, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
144.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Normal Rainfall,Annual Normal Rainfall 1951 to 2000, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
171.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
172.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
173.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
174.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
175.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
176.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
177.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
178.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
179.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
180.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
181.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
182.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
183.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Lift Irrigation,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
184.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Lift Irrigation,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
185.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Lift Irrigation,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
186.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Other Sources,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
187.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Other Sources,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
188.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Total,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
189.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Total,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
714.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;Fru Units First Referal Units, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
715.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of Vehical,108 Ambulance, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
716.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of benefitted patients,108 Ambulance, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
719.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of benificiaries in Jananni Suraksha Yojanas, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
720.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of benificiaries medical kit, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
721.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;Maternal Mortality Death, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
863.0;13;Women & Child Development;13.6;No.of Beneficiaries under different schemes Year-2016-17 in Nos.;No.of benefitted for payment of Girl children attendence, No.of Beneficiaries under different schemes Year-2016-17 in Nos., Women & Child Development;End poverty in all its forms everywhere;1
864.0;13;Women & Child Development;13.6;No.of Beneficiaries under different schemes Year-2016-17 in Nos.;No.of benefitted for protection of orphanage children, No.of Beneficiaries under different schemes Year-2016-17 in Nos., Women & Child Development;End poverty in all its forms everywhere;1
865.0;13;Women & Child Development;13.6;No.of Beneficiaries under different schemes Year-2016-17 in Nos.;No.of Creeches, No.of Beneficiaries under different schemes Year-2016-17 in Nos., Women & Child Development;End poverty in all its forms everywhere;1
889.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Provided During the current year,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
890.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Total,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
891.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Provided During the current year,Piped Water Supply Schemes, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
892.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Total,Piped Water Supply Schemes, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
893.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Provided During the current year,Mini Water Supply Schemes, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
894.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Total,Mini Water Supply Schemes, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
276.0;4;Agriculture, Horticulture and Sericulture;4.11;Production of Important Vegetable Crops in.Tons Year 2015-16;Total Gourd Variety Vegetables, Production of Important Vegetable Crops in.Tons Year 2015-16, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
910.0;15;Housing;15.3;Distribution of Households by source of Drinking water -2011 census %;Well,Source of Drinking Water %, Distribution of Households by source of Drinking water -2011 census %, Housing;End poverty in all its forms everywhere;1
492.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Multiaxled Ariculated Vehicles,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
493.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Trucks Lorries,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
494.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Four Wheelers,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
495.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;wheelers,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
496.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Total,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
377.0;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Artificial Insemination Done Numbers, Artificial Insemination and Dairy Production Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
392.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Fish lets In lakhs, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
207.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2015-16;Total Food Grains,Pulses Hect,Area under principal crops, Area under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
240.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year Year 2014-15 Provision in Tonnes;Total Food Grains,Production of Pulses In Tonnes, Production of Important Crops Year Year 2014-15 Provision in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
294.0;4;Agriculture, Horticulture and Sericulture;4.12;Yield of Important Crops Year 2014-15 Provision;Total Food Grains,Yield Of Pulses K.g Hect, Yield of Important Crops Year 2014-15 Provision, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
426.0;6;Industries;6.4;Small Scale units registered in District Industrial Centre As on 31-03-2017 on;No.,Food Intoxicants, Small Scale units registered in District Industrial Centre As on 31-03-2017 on, Industries;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
427.0;6;Industries;6.4;Small Scale units registered in District Industrial Centre As on 31-03-2017 on;Total workers,Food Intoxicants, Small Scale units registered in District Industrial Centre As on 31-03-2017 on, Industries;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
156.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Geographical Area,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
158.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Land put to Non- Agricultural uses,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
159.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Barren cultivable land,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
160.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
161.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Cultivable- waste,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
162.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Permanent Pasture,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
163.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Trees and Groves,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
165.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Current,Fallow Land,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
168.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Net,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
169.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;More than once,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
170.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
171.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
180.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
181.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
182.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
186.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Other Sources,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
187.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Other Sources,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
188.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Total,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
189.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Total,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
190.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Paddy,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
191.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Jowar,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
192.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Bajra,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
193.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Maize,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
194.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Ragi,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
195.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Wheat,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
196.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Other Cereals Minor Millets,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
197.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Total Cereals Minor millets,Area under Cereals Hect.,Area under principal crops In Hect., Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
198.0;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Tur,Pulses Hect,Area under principal crops, Area Under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
