Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
389.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Full Time,Families involved in fisheries, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
390.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Part Time,Families involved in fisheries, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
855.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;6 Month-3 Years,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End poverty in all its forms everywhere;1
140.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Working,Raingauge Stations, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
141.0;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Not Working,Raingauge Stations, No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017, Rainfall;End poverty in all its forms everywhere;1
384.0;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Capacity Tonnes day,Ice Plants, Fisheries Year 2016-17, Animal Husbandry;End poverty in all its forms everywhere;1
717.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;Nos.,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
718.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of delivaries in this Hospital,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End poverty in all its forms everywhere;1
876.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;Men,M.g.n.r.e.g.s Mandays Generated in Lakhs Days, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
877.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2016-17 In Nos;Women,M.g.n.r.e.g.s Mandays Generated in Lakhs Days, Physical Progress under Mgnregs During Year 2016-17 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
171.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
172.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
173.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
174.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
175.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
176.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Tanks,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
177.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
178.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
179.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
180.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
276.0;4;Agriculture, Horticulture and Sericulture;4.11;Production of Important Vegetable Crops in.Tons Year 2015-16;Total Gourd Variety Vegetables, Production of Important Vegetable Crops in.Tons Year 2015-16, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
181.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
182.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End poverty in all its forms everywhere;1
889.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Provided During the current year,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
890.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Total,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;End poverty in all its forms everywhere;1
910.0;15;Housing;15.3;Distribution of Households by source of Drinking water -2011 census %;Well,Source of Drinking Water %, Distribution of Households by source of Drinking water -2011 census %, Housing;End poverty in all its forms everywhere;1
492.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Multiaxled Ariculated Vehicles,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;End poverty in all its forms everywhere;1
207.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2015-16;Total Food Grains,Pulses Hect,Area under principal crops, Area under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
240.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year Year 2014-15 Provision in Tonnes;Total Food Grains,Production of Pulses In Tonnes, Production of Important Crops Year Year 2014-15 Provision in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
294.0;4;Agriculture, Horticulture and Sericulture;4.12;Yield of Important Crops Year 2014-15 Provision;Total Food Grains,Yield Of Pulses K.g Hect, Yield of Important Crops Year 2014-15 Provision, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
426.0;6;Industries;6.4;Small Scale units registered in District Industrial Centre As on 31-03-2017 on;No.,Food Intoxicants, Small Scale units registered in District Industrial Centre As on 31-03-2017 on, Industries;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
427.0;6;Industries;6.4;Small Scale units registered in District Industrial Centre As on 31-03-2017 on;Total workers,Food Intoxicants, Small Scale units registered in District Industrial Centre As on 31-03-2017 on, Industries;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
156.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Geographical Area,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
158.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Land put to Non- Agricultural uses,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
159.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Barren cultivable land,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
160.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
161.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Cultivable- waste,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
162.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Permanent Pasture,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
163.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Trees and Groves,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
165.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Current,Fallow Land,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
168.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Net,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
169.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;More than once,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
855.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;6 Month-3 Years,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
856.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;3-6 Years,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
857.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;Pregnant Women,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
858.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;Lactating Women,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
859.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;Adolescent 11-18 years,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
860.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;Total,No.of Beneficiaries under Supplementary Nutrition Programme, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
861.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;No. of Anganawadi Teachers, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
862.0;13;Women & Child Development;13.5;No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos.;No. of Anganawadi Workers Assistants, No. Of Anganawadi Teachers Workers and Supplementary Nutrition Programme Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
682.0;11;Health & Family welfare Services;11.5;Family Planning Measures Year 2016-17 In Nos;Vasectomy,Sterlisation, Family Planning Measures Year 2016-17 In Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
683.0;11;Health & Family welfare Services;11.5;Family Planning Measures Year 2016-17 In Nos;Tubectomy,Sterlisation, Family Planning Measures Year 2016-17 In Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
28.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
29.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
30.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
31.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
32.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
33.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
34.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
35.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Rural,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
36.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Total,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
37.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
714.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;Fru Units First Referal Units, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
715.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of Vehical,108 Ambulance, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
718.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of delivaries in this Hospital,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
719.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of benificiaries in Jananni Suraksha Yojanas, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
720.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-3-2017 in Nos;No.of benificiaries medical kit, Different Health Facilities As on 31-3-2017 in Nos, Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
381.0;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Meat Production in Tonnes, Artificial Insemination and Dairy Production Year 2016-17, Animal Husbandry;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
648.0;11;Health & Family welfare Services;11.1;Taluk District Autonomous Teaching Other Hospitals on 31-3-2017 In Nos.;Nos.,Taluka Hq Hospitals, Taluk District Autonomous Teaching Other Hospitals on 31-3-2017 In Nos., Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
649.0;11;Health & Family welfare Services;11.1;Taluk District Autonomous Teaching Other Hospitals on 31-3-2017 In Nos.;Beds,Taluka Hq Hospitals, Taluk District Autonomous Teaching Other Hospitals on 31-3-2017 In Nos., Health & Family welfare Services;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
839.0;13;Women & Child Development;13.1;Stree Shakti Self Help Groups and Members Year 2016-17 In Nos.;No.of Stree Shakt Self help groups, Stree Shakti Self Help Groups and Members Year 2016-17 In Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
840.0;13;Women & Child Development;13.1;Stree Shakti Self Help Groups and Members Year 2016-17 In Nos.;No.of Women Sc, Stree Shakti Self Help Groups and Members Year 2016-17 In Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
841.0;13;Women & Child Development;13.1;Stree Shakti Self Help Groups and Members Year 2016-17 In Nos.;No.of Women St, Stree Shakti Self Help Groups and Members Year 2016-17 In Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
842.0;13;Women & Child Development;13.1;Stree Shakti Self Help Groups and Members Year 2016-17 In Nos.;No.of Women Others, Stree Shakti Self Help Groups and Members Year 2016-17 In Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
843.0;13;Women & Child Development;13.1;Stree Shakti Self Help Groups and Members Year 2016-17 In Nos.;Total No.of Members, Stree Shakti Self Help Groups and Members Year 2016-17 In Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
844.0;13;Women & Child Development;13.2;Loan and Financial Received from the Bank and Government Year 2016-17 in Nos.;Total Savings Accumulated Rs. in Crores, Loan and Financial Received from the Bank and Government Year 2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
845.0;13;Women & Child Development;13.2;Loan and Financial Received from the Bank and Government Year 2016-17 in Nos.;Loan taken from Banks No.of Shg,Help Groups Rs.in Crores, Loan and Financial Received from the Bank and Government Year 2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
846.0;13;Women & Child Development;13.2;Loan and Financial Received from the Bank and Government Year 2016-17 in Nos.;Total loan received from Bank Rs. in Crores,Help Groups Rs.in Crores, Loan and Financial Received from the Bank and Government Year 2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
847.0;13;Women & Child Development;13.2;Loan and Financial Received from the Bank and Government Year 2016-17 in Nos.;Revolving Funds received from Govt.,Help Groups Rs.in Crores, Loan and Financial Received from the Bank and Government Year 2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
848.0;13;Women & Child Development;13.3;No.of Members Benefitted under Bhagyalakshmi Scheme Year 2016-17 in Nos.;Current year,No.of members benefitted under Bhagyalakshmi Yojane,Bhagyalakshmi, No.of Members Benefitted under Bhagyalakshmi Scheme Year 2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
911.0;15;Housing;15.3;Distribution of Households by source of Drinking water -2011 census %;Handpump,Source of Drinking Water %, Distribution of Households by source of Drinking water -2011 census %, Housing;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
912.0;15;Housing;15.3;Distribution of Households by source of Drinking water -2011 census %;Tubewell,Source of Drinking Water %, Distribution of Households by source of Drinking water -2011 census %, Housing;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
864.0;13;Women & Child Development;13.6;No.of Beneficiaries under different schemes Year-2016-17 in Nos.;No.of benefitted for protection of orphanage children, No.of Beneficiaries under different schemes Year-2016-17 in Nos., Women & Child Development;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
591.0;10;Education;10.10;Infrastructure Facilities in High schools Year-2016-17 in Nos.;No.of Govt High Schools,Infrastructure Facilitiesin High Schools, Infrastructure Facilities in High schools Year-2016-17 in Nos., Education;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
594.0;10;Education;10.10;Infrastructure Facilities in High schools Year-2016-17 in Nos.;Electricity,Infrastructure Facilitiesin High Schools, Infrastructure Facilities in High schools Year-2016-17 in Nos., Education;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2
177.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
178.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
179.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
180.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
181.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
182.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,area Irrigated under Different Sources 2015-16, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;Ensure healthy lives and promote well-being for all at all ages;3
889.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Provided During the current year,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;Ensure healthy lives and promote well-being for all at all ages;3
890.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2016-17 in Nos.;Total,Wells, Different Schemes of drinking water supply facilities Year 2016-17 in Nos., Rural Development & Panchayat Raj;Ensure healthy lives and promote well-being for all at all ages;3
910.0;15;Housing;15.3;Distribution of Households by source of Drinking water -2011 census %;Well,Source of Drinking Water %, Distribution of Households by source of Drinking water -2011 census %, Housing;Ensure healthy lives and promote well-being for all at all ages;3
492.0;9;TRANSPORT AND COMMUNICATION;9.1;Motor Vehicles on 31-03-2017;Multiaxled Ariculated Vehicles,Goods vehicles, Motor Vehicles on 31-03-2017, TRANSPORT AND COMMUNICATION;Ensure healthy lives and promote well-being for all at all ages;3
